target,model,target_mode,fold,n,accuracy,balanced_accuracy,log_loss,brier,auc_gap,auc_session,seconds,n_features
samsung,nq_rule,close_to_close,all,394.0,0.3274111675126903,0.3590276947415862,1.1006099682897643,0.667801075993206,0.4843804436186273,0.5056438127090301,0.0,
samsung,t0700,close_to_close,all,394.0,0.4467005076142132,0.4361429714590557,1.032370339106873,0.6234293957507127,0.80681686215306,0.466164994425864,9.9,61.0
samsung,t_evening,close_to_close,all,394.0,0.365482233502538,0.3600567814252383,1.092986963060656,0.662805524030903,0.4729706189757288,0.5224637681159421,9.7,61.0
samsung,t_evening_f2000,close_to_close,all,394.0,0.3527918781725888,0.3547782857037738,1.0941124340376611,0.6637615820033432,0.4863546626408083,0.517056856187291,10.0,68.0
samsung,t_evening_f2200,close_to_close,all,394.0,0.3553299492385787,0.3585054098717513,1.0927597067081922,0.662745686982146,0.489374056439438,0.514659977703456,9.9,68.0
sk_hynix,nq_rule,close_to_close,all,394.0,0.2868020304568528,0.3284232172323995,1.092574345700428,0.6619770679386104,0.4933677332510726,0.4754096166202612,0.0,
sk_hynix,t0700,close_to_close,all,394.0,0.4898477157360406,0.4529107402134661,0.9966059770585504,0.5969525209094177,0.8235508567262122,0.4654101520668237,9.3,58.0
sk_hynix,t_evening,close_to_close,all,394.0,0.3350253807106599,0.2931676296095234,1.0979351631233965,0.6662364128562175,0.4521719621974817,0.4899871492825016,9.0,58.0
sk_hynix,t_evening_f2000,close_to_close,all,394.0,0.3629441624365482,0.3207036714927676,1.0969735198136217,0.665526610641752,0.4988922852575786,0.4854090811736988,9.5,65.0
sk_hynix,t_evening_f2200,close_to_close,all,394.0,0.3883248730964467,0.3456794055789752,1.09503846628282,0.6640532380091406,0.5275806949157296,0.4862657956735918,9.4,65.0
